PLATEIFU,RA,DEC,inc,inc_err,PA,PA_err,PA_bar,PA_bar_err,R_bar,R_bar_err,R_bar_deproj_kpc,R_bar_deproj_kpc_err,redshift,nsa_elpetro_absmag_r,nsa_sersic_absmag_r,bar_type
10220-9101,120.825871809,31.7763732335,39.90793813786247,1.082653680343462,62.80000000000001,0.75,82.59292206129288,82.08594969899794,5.95163558077251,0.0560949444983536,4.504873447869653,0.04245902199501856,0.0363553,-21.371509799928717,-21.619409799928714,Strong bar
9484-12703,120.674558679,34.9446437099,32.204316215988605,1.853521037894371,113.0,1.0,91.80894981469692,24.055323575499045,7.036993193389394,0.21294416362698065,4.64196754807191,0.14046907108512546,0.031806,-21.181409799928716,-21.424909799928717,Strong bar
11955-12703,195.321303378,53.8608374746,48.165379162201646,2.1998347982336988,116.80000000000001,0.5333333333333327,97.41562998542224,5.774255303649408,8.742755615163281,0.757287403108928,5.568219761664715,0.4823127705797291,0.029873945,-21.696497799928714,-22.205001799928716,Strong bar
11761-12704,195.86457106,53.5319565106,57.881621355338446,0.6952247125170423,39.099999999999994,0.5833333333333334,143.37168715945415,1133.1590315809037,0.9881827459095692,0.14520942672198556,0.9576258249222953,0.14071921173157215,0.03285506,-21.815619799928715,-21.923511799928715,Weak bar
9189-3701,50.5102834779,-7.47418414445,49.48369313631133,1.996251916614064,5.0,1.2500000000000007,153.73561439439152,25.23200605758928,8.006952666220787,0.3636125933658292,6.298404010795633,0.28602379855357446,0.0334132,-21.152909799928715,-21.296109799928715,Strong bar
9029-12704,247.21695308,42.8120113452,58.37671372040256,0.3956998545721006,112.19999999999999,0.5499999999999995,78.55362405802998,86.39347041627835,5.464504098105252,0.15895330037200983,4.1031529253221874,0.11935386774385877,0.0315763,-21.637609799928715,-21.828509799928714,Strong bar
7962-12704,260.883080702,27.4587088309,53.10704985444988,5.549208686138822,84.89999999999998,1.0166666666666657,116.01569110404614,360.04862741019235,3.118682053450475,0.3563948525375891,1.5181562113915743,0.17349093296936088,0.0223086,-20.354209799928714,-20.484309799928717,Weak bar
9028-12702,242.975066254,30.332783222,49.76476521834183,0.5103456098907841,137.6,0.5666666666666664,174.52011595317373,9.258869886021744,6.182877665287524,0.06067199299956892,4.2264320740203285,0.041473577691463225,0.0300649,-21.183709799928714,-21.451009799928716,Weak bar
9193-9101,46.2941968423,-1.07547036487,24.503828045418697,2.732197927783046,157.9,0.8000000000000002,36.62637221178181,22.75256632307347,5.690391285154314,0.13059838096256682,5.701052187208006,0.13084305597313156,0.0450558,-22.092509799928717,-22.500909799928717,Strong bar
9192-12701,46.2926761258,-0.314889879806,62.06489878553065,0.4282996001123216,32.19999999999999,0.5500000000000019,46.35803192175635,7.280710424695387,5.603817205019022,0.2893615365898996,3.379066455197611,0.17448318279183542,0.0280993,-20.864509799928715,-21.194309799928714,Strong bar
9192-6101,46.3470225234,-0.24210798119,66.39250908047944,1.0919309994928668,76.80000000000001,1.6333333333333329,134.93741234079255,20.21819749656263,1.3655977448646712,0.2422068990836066,1.2317153760023456,0.21846108262626834,0.0287962,-20.806809799928715,-20.918709799928717,Weak bar
7961-12702,258.935074017,29.4043335998,65.20633992864846,1.89504066871244,155.0,0.5666666666666664,167.03751238771372,1.2382332148424229,14.032330007661319,0.66492069446522,9.12116160276709,0.43220542161780173,0.0289918,-21.843809799928714,-21.900809799928716,Strong bar
8563-12705,242.755084484,49.795406083,45.05258240903251,1.3822264801687858,37.900000000000006,0.5666666666666677,67.9821490082156,60.61022144339773,5.401711424777194,0.4397275003577623,4.942040251555404,0.4023078679316049,0.0423376,-22.656409799928717,-22.783409799928716,Weak bar
8549-12701,240.470870972,45.351940155,54.019343285903005,0.4175854796925229,53.0,0.45000000000000046,98.02353759706307,81.09687376273332,5.12178827186261,0.09651671400230022,4.897971286925412,0.09229903088511338,0.0420468,-21.616809799928717,-21.999709799928716,Strong bar
9196-12701,260.126453553,52.6430405566,31.03646940017808,0.9515228351820788,121.4,0.6166666666666669,176.70543273777912,23.96628790825867,10.517848830164105,0.35284844230647394,7.75490637833706,0.26015839170280963,0.0309348,-21.849509799928715,-22.147009799928714,Strong bar
8140-12701,116.930322338,41.386379358,30.662769572239903,0.2025540783158064,64.80000000000001,0.9833333333333343,123.65514919500976,78.26135008357458,6.87623634653442,0.3223812948524771,4.786136653548537,0.22439032836466155,0.0285831,-20.902409799928716,-21.058909799928717,Strong bar
8083-9101,50.138413881,-0.339959846103,49.84258734201126,0.5846585526868822,39.0,0.6833333333333323,23.450843086110268,84.48868528527969,5.002546493305672,0.4307921464297415,4.064670387808766,0.35002734771915583,0.0382806,-22.226509799928717,-22.517409799928714,Weak bar
8085-3704,51.1555183364,-0.444017557679,40.49829513528931,3.496609715521433,106.0,2.2166666666666686,116.99611945775422,22.29181620430523,4.17434506224574,0.32766522959864375,3.1045042698916583,0.24368807303073312,0.0368414,-21.546609799928714,-21.649809799928715,Strong bar
8084-6101,51.6942487239,-0.648169731434,51.43700989843634,0.8279738672351904,64.5,1.0666666666666653,8.91753243355825,26.475073479791,4.842546384312456,0.651052591729798,2.7672008738973153,0.372034288948499,0.0204935,-20.049109799928715,-20.062509799928716,Strong bar
11956-6103,187.17995213,53.3576933919,59.10972310881959,0.2308654079494374,179.4,0.6166666666666628,103.58577128857348,13.413066781986048,6.038338225115073,0.030976376326656375,5.585138822900623,0.02865148581694284,0.03658396,-21.668714799928715,-22.003496799928715,Weak bar
11017-12704,202.485377395,50.8838631272,59.59626104815424,0.517940167369737,67.69999999999999,0.6500000000000009,92.70055293422229,76.10177773423695,5.093299733224346,0.7764551659125312,2.9488396991923516,0.4495399716906869,0.025398761,-20.870395799928716,-21.086664799928716,Weak bar
8626-6104,263.033161018,56.8787475343,52.90553307447311,1.313369492737916,86.19999999999999,0.7000000000000005,62.82810333243157,41.84845260654057,5.258928925419438,0.4459789950986539,3.2573802689927613,0.2762393634942898,0.0281076,-21.247809799928714,-21.393809799928714,Strong bar
11018-12702,195.657161791,50.4384293765,39.15004267962614,0.7131052044431208,146.8,1.2000000000000004,120.59093698096217,329.44697885505667,4.234781791445212,0.4838237780511185,2.027880635251722,0.2316853426465111,0.023645166,-21.741059799928717,-21.973415799928716,Strong bar
11956-12702,187.778251994,52.4143339538,60.81448848763733,1.0505851501788683,53.0,0.5500000000000019,75.55972758795141,5.160539047268697,13.464836347363288,0.48743897597626873,12.739865708001643,0.4611943981034378,0.03999311,-22.230169799928717,-22.621570799928715,Strong bar
9190-12703,54.4952815223,-6.27063764925,54.407425989945736,0.4528660468754637,49.599999999999994,0.5666666666666677,116.51549918721207,28.998359612245917,5.747803972901105,0.4391974880476037,3.4593045339387034,0.26433014571488866,0.0220936,-21.521509799928715,-21.615109799928714,Weak bar
8624-9102,263.892581425,59.8899227545,44.26658298111081,6.5762298987505226,139.3,0.8666666666666671,104.74189993066778,100.5392832027376,4.814658684972839,0.20387086792685638,3.226456955083438,0.13662039675097207,0.0283608,-21.080909799928715,-21.338009799928717,Strong bar
9870-6103,233.228291256,44.5387324245,57.981705423497615,2.945842216433146,3.3999999999999773,0.8333333333333334,155.810282902717,189.38965409980355,4.442139757222357,0.8389321699342926,3.7551144670462993,0.7091821735389662,0.0371223,-21.460609799928715,-21.730109799928716,Strong bar
10226-3704,37.779258815,-1.10518325836,26.270920028486582,0.578514659633564,77.30000000000001,1.4833333333333318,130.7573598056954,143.2235464186948,5.071424918685978,0.13389890329844123,4.679183669171914,0.12354270676976392,0.0405964,-21.079009799928716,-21.431909799928714,Strong bar
8610-12703,257.19049208,62.0433486502,63.44004630929566,1.164662958447341,138.7,0.6499999999999998,102.40982032111162,179.6676241987182,7.860255316536808,2.7250881011030965,5.998132664387503,2.079504964447125,0.0261576,-21.129609799928716,-21.197209799928714,Weak bar
8077-12705,41.694639931,-0.728826852116,40.19595067287637,6.211804354844933,19.0,0.7999999999999972,8.445389163287985,128.0725839660517,6.747479863344118,0.01990540050864985,5.9183266842627615,0.017459357475265412,0.0438592,-21.975809799928715,-22.679809799928716,Strong bar
8079-9101,42.8963395389,-0.733774161819,47.21643811174811,0.2082750747079984,13.899999999999977,0.8166666666666677,44.72387445919054,15.301725268740135,8.078775414492405,0.02996733646226255,4.338248184983891,0.016092258584512274,0.0232391,-21.170109799928717,-21.389909799928716,Strong bar
11748-6103,138.675773926,30.1762933953,56.63501176373999,0.2413606151208398,142.3,0.9166666666666666,179.96872942214384,473.23541164557787,5.000716945247616,0.16855710222858367,3.0944294301979265,0.10430265570233806,0.024462113,-20.675058799928717,-20.830181799928717,Weak bar
